impl,kernel,B,T,D,N,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms
B1_naive,depth_attention_naive,1,1,512,4,0.47356244060210884,0.43547899986151606,0.7587500149384141,0.10805144583636964,0.3578329924494028,0.8022500260267407
B3_two_phase,phase1_interblock,1,1,512,4,0.42919826810248196,0.4135415074415505,0.4877079918514937,0.2201886713125869,0.28974999440833926,2.523000002838671
B1_naive,depth_attention_naive,1,1,512,8,0.2843841412686743,0.279791493085213,0.32883399398997426,0.02141654462041696,0.23700000019744039,0.36495900712907314
B3_two_phase,phase1_interblock,1,1,512,8,0.23922996973851696,0.22208300651982427,0.2780419890768826,0.0921405354547555,0.19687498570419848,1.1059160169679672
B1_naive,depth_attention_naive,1,1,512,16,0.2189248989452608,0.2022909902734682,0.24720802321098745,0.07246812578817738,0.1789579982869327,0.721415999578312
B3_two_phase,phase1_interblock,1,1,512,16,0.2115582613623701,0.20233351096976548,0.22920800256542861,0.06261655947643849,0.1803330087568611,0.7959999784361571
B3_two_phase,phase2_ref,1,1,512,,0.3247099427971989,0.29374951554927975,0.65441700280644,0.14816832639187524,0.18008300685323775,0.7781250169500709
B4_fused,phase2_fused,1,1,512,,0.1953424178645946,0.19387499196454883,0.21816699882037938,0.016864673566320976,0.16904197400435805,0.23895801859907806
B1_naive,depth_attention_naive,1,1,1024,4,0.19913795113097876,0.19670800247695297,0.22250000620260835,0.013723222296492506,0.17679200391285121,0.22904100478626788
B3_two_phase,phase1_interblock,1,1,1024,4,0.19732795044546947,0.19514599989634007,0.2207910001743585,0.012498196919917338,0.17687500803731382,0.2629169903229922
B1_naive,depth_attention_naive,1,1,1024,8,0.20061916031409055,0.19725000311154872,0.225499999942258,0.015423148384484464,0.1663750153966248,0.23329199757426977
B3_two_phase,phase1_interblock,1,1,1024,8,0.20270744222216308,0.1999165106099099,0.2304170047864318,0.014862160713084637,0.17679101438261569,0.2541670110076666
B1_naive,depth_attention_naive,1,1,1024,16,0.2122624809271656,0.21570849639829248,0.23320797481574118,0.014183113103291088,0.18133301637135446,0.23966599837876856
B3_two_phase,phase1_interblock,1,1,1024,16,0.20304619130911306,0.20043749827891588,0.22849999368190765,0.013699933240060715,0.18049997743219137,0.25924999499693513
B3_two_phase,phase2_ref,1,1,1024,,0.19208908110158518,0.18483350868336856,0.22441701730713248,0.01570875800390062,0.17216699779964983,0.23270898964256048
B4_fused,phase2_fused,1,1,1024,,0.20169457042356953,0.20016600319650024,0.2223330084234476,0.052781908408481466,0.16599998343735933,0.6855000101495534
