kernel,B,T,D,dtype,device,warmup,runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,speedup_vs_ref
phase2_ref_torch,1,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04820266651610534,0.04758400097489357,0.049855999648571014,0.001990978220014639,0.04681599885225296,0.058111999183893204,
phase2_fused_triton,1,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.025170133324960868,0.02401600033044815,0.028416000306606293,0.003658545441308279,0.023391999304294586,0.04297599941492081,1.9813457828181846
phase2_ref_torch,1,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04751573366423448,0.04667200148105621,0.049536000937223434,0.002775708492336662,0.04630399867892265,0.06028800085186958,
phase2_fused_triton,1,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.024240000111361345,0.02372800000011921,0.026399999856948853,0.0016011674809568721,0.023135999217629433,0.03049599938094616,1.9669589295693584
phase2_ref_torch,1,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04710613340139389,0.04654400050640106,0.047968000173568726,0.0018303873651404254,0.0459199994802475,0.056063998490571976,
phase2_fused_triton,1,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.02525013337532679,0.024272000417113304,0.028063999488949776,0.002937347907667256,0.023264000192284584,0.03891199827194214,1.9176005152663305
phase2_ref_torch,1,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04800106659531593,0.047680001705884933,0.049056001007556915,0.0017281871247188014,0.04684799909591675,0.05660799890756607,
phase2_fused_triton,1,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.024868266594906648,0.023951999843120575,0.026623999699950218,0.0034536360106421837,0.023296000435948372,0.04201599955558777,1.9906480468510628
phase2_ref_torch,1,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04737173356115818,0.04668800160288811,0.04950400069355965,0.0016495059082759001,0.04608000069856644,0.05385600030422211,
phase2_fused_triton,1,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.024390400076905887,0.023376000113785267,0.026496000587940216,0.0030465434016447297,0.023104000836610794,0.03916800022125244,1.997262208060793
phase2_ref_torch,1,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04700053309400876,0.046480000019073486,0.04758400097489357,0.0021071571371541194,0.046112000942230225,0.057792000472545624,
phase2_fused_triton,1,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.024779733394583066,0.023520000278949738,0.0272000003606081,0.003433501876711479,0.02304000034928322,0.041120000183582306,1.9761904535635917
phase2_ref_torch,1,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04728213337560495,0.04657600075006485,0.04899200052022934,0.002211393742985651,0.04608000069856644,0.05644800141453743,
phase2_fused_triton,1,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.024103466731806595,0.023520000278949738,0.025631999596953392,0.0013187385924132054,0.023104000836610794,0.029791999608278275,1.9802721172478088
phase2_ref_torch,1,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.04735253316660722,0.046560000628232956,0.049695998430252075,0.002384171055865474,0.0461760014295578,0.05686400085687637,
phase2_fused_triton,1,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.02406186666339636,0.02372800000011921,0.02518399991095066,0.0012765537142338974,0.022272000089287758,0.029888000339269638,1.962238731793621
phase2_ref_torch,1,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.047178666666150094,0.04665600135922432,0.04851200059056282,0.0017153381117951665,0.0461760014295578,0.05500800162553787,
phase2_fused_triton,1,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,10,30,0.0242165332660079,0.023471999913454056,0.025919999927282333,0.00261092910507749,0.023135999217629433,0.03667199984192848,1.9877301265871805
