kernel,B,T,D,dtype,device,warmup,runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,speedup_vs_ref
phase2_ref_torch,1,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04773696010932326,0.047200001776218414,0.051552001386880875,0.0016364492273425381,0.04614400118589401,0.05753599852323532,
phase2_fused_triton,1,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02330943999812007,0.02304000034928322,0.02393599972128868,0.0012749194540249203,0.022175999358296394,0.03296000137925148,2.048611157147262
phase2_ref_torch,1,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04706912016496062,0.04665600135922432,0.04912000149488449,0.0012752719763168355,0.046112000942230225,0.05417599901556969,
phase2_fused_triton,1,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023163359947502613,0.022911999374628067,0.02348800003528595,0.001210350636406713,0.022655999287962914,0.035071998834609985,2.0363129640658735
phase2_ref_torch,1,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.046987039856612685,0.046592000871896744,0.04918399825692177,0.001289904067434884,0.045504000037908554,0.0551999993622303,
phase2_fused_triton,1,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023419840028509498,0.023231999948620796,0.02380800060927868,0.0009727964333475686,0.022943999618291855,0.031168000772595406,2.0055096838385946
phase2_ref_torch,1,1,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04688015988096595,0.04654400050640106,0.04912000149488449,0.0011215600111849863,0.04553600028157234,0.05286400020122528,
phase2_fused_triton,1,1,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02345183997415006,0.023072000592947006,0.02412799932062626,0.0020803698914423708,0.022816000506281853,0.04825599864125252,2.017337002003603
phase2_ref_torch,1,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047581280134618285,0.04710400104522705,0.052032001316547394,0.0015934001076135676,0.04639999940991402,0.05587200075387955,
phase2_fused_triton,1,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023497600024566054,0.02304000034928322,0.025312000885605812,0.0023383396002805727,0.022655999287962914,0.0498879998922348,2.0444444588167063
phase2_ref_torch,1,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04723856005817652,0.04684799909591675,0.048895999789237976,0.0013912284282417814,0.04630399867892265,0.05689600110054016,
phase2_fused_triton,1,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02332272008061409,0.023151999339461327,0.02380800060927868,0.0008334373485756436,0.022784000262618065,0.0307839997112751,2.0234969087990113
phase2_ref_torch,1,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047248960193246606,0.046879999339580536,0.04896000027656555,0.0013475415580314208,0.0459199994802475,0.0551999993622303,
phase2_fused_triton,1,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023275200026109815,0.023104000836610794,0.023711999878287315,0.000986813497866976,0.021824000403285027,0.030559999868273735,2.029085770517031
phase2_ref_torch,1,16,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047132160142064096,0.046751998364925385,0.04944000020623207,0.0013111044063771834,0.04620800167322159,0.054816000163555145,
phase2_fused_triton,1,16,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023544320072978735,0.023264000192284584,0.024480000138282776,0.0012210809115453883,0.022911999374628067,0.03270399942994118,2.009628523835316
phase2_ref_torch,1,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047227680012583734,0.04684799909591675,0.04854400083422661,0.0012703662709665246,0.04553600028157234,0.05443200096487999,
phase2_fused_triton,1,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023254239978268743,0.02300800010561943,0.023871999233961105,0.0011668737543492728,0.022016000002622604,0.03417599946260452,2.036161286546356
phase2_ref_torch,1,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04705664001405239,0.046751998364925385,0.04835199937224388,0.0012411709903308102,0.04601600021123886,0.05593600124120712,
phase2_fused_triton,1,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023416000166907907,0.023135999217629433,0.024064000695943832,0.001240674897417742,0.02223999984562397,0.03171199932694435,2.020746885628383
phase2_ref_torch,1,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047142400164157154,0.046720001846551895,0.050783999264240265,0.0015512739463728476,0.04620800167322159,0.057023998349905014,
phase2_fused_triton,1,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023274240037426352,0.023072000592947006,0.023840000852942467,0.0011834626368197533,0.02195199951529503,0.03328000009059906,2.0249653539292107
phase2_ref_torch,1,128,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04655280005186796,0.04614400118589401,0.05049600079655647,0.0014191645778755455,0.04508800059556961,0.05427199974656105,
phase2_fused_triton,1,128,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023492000065743923,0.023104000836610794,0.024032000452280045,0.001998183991395994,0.022752000018954277,0.04105599969625473,1.9972298959050347
phase2_ref_torch,1,512,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04721296003088355,0.046720001846551895,0.04960000142455101,0.0018378731618493506,0.046112000942230225,0.05644800141453743,
phase2_fused_triton,1,512,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023382720043882727,0.023135999217629433,0.02425600029528141,0.0011297386174443861,0.022816000506281853,0.032127998769283295,2.0193639102024026
phase2_ref_torch,1,512,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.0470622400008142,0.04652800038456917,0.050624001771211624,0.0025920499576521255,0.045184001326560974,0.07654400169849396,
phase2_fused_triton,1,512,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023601920064538717,0.02319999970495701,0.024447999894618988,0.001980977434544588,0.022207999601960182,0.03859199956059456,2.0055172834604735
phase2_ref_torch,1,512,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04689023997634649,0.04649600014090538,0.05116799846291542,0.001480392548466779,0.04588799923658371,0.05488000065088272,
phase2_fused_triton,1,512,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023568480042740703,0.02319999970495701,0.02409599907696247,0.0021266931426408516,0.02208000048995018,0.04543999955058098,2.004137962595355
phase2_ref_torch,1,512,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.05156047945842147,0.051711998879909515,0.0525440014898777,0.001366488320623236,0.04825599864125252,0.06083200126886368,
phase2_fused_triton,1,512,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023679840117692946,0.023360000923275948,0.024447999894618988,0.001537557595514207,0.02304000034928322,0.03888000175356865,2.2136984946941327
phase2_ref_torch,4,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047308000177145,0.046879999339580536,0.04940799996256828,0.0015415146606530417,0.046271998435258865,0.06092799827456474,
phase2_fused_triton,4,1,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023467520093545316,0.023231999948620796,0.024159999564290047,0.0011379725565381362,0.02208000048995018,0.031168000772595406,2.01790631212375
phase2_ref_torch,4,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047276640124619004,0.046879999339580536,0.04867200180888176,0.0020509401686418125,0.04585599899291992,0.07049600034952164,
phase2_fused_triton,4,1,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023439840171486138,0.023104000836610794,0.023871999233961105,0.001830690923636727,0.02236800082027912,0.04412800073623657,2.029085770517031
phase2_ref_torch,4,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04751216011121869,0.047120001167058945,0.04899200052022934,0.0015807010761868963,0.04639999940991402,0.060447998344898224,
phase2_fused_triton,4,1,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023569280058145525,0.023264000192284584,0.02409599907696247,0.0017059177422751133,0.022143999114632607,0.04320000112056732,2.0254470760658827
phase2_ref_torch,4,1,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04739504002034664,0.0469760000705719,0.05152000114321709,0.001601684289348762,0.0461760014295578,0.05724800005555153,
phase2_fused_triton,4,1,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02359056007117033,0.023183999583125114,0.024447999894618988,0.0017795661509855685,0.022816000506281853,0.041439998894929886,2.026225022224561
phase2_ref_torch,4,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.047361440025269985,0.046911999583244324,0.049855999648571014,0.0016641763821159039,0.04527999833226204,0.05673599988222122,
phase2_fused_triton,4,16,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023655200079083442,0.023296000435948372,0.024607999250292778,0.0018471192252228245,0.022336000576615334,0.04262400045990944,2.0137362081627446
phase2_ref_torch,4,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04741072012111545,0.046879999339580536,0.05225599929690361,0.0019969697403682887,0.04543999955058098,0.06614399701356888,
phase2_fused_triton,4,16,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023653760077431796,0.023296000435948372,0.024191999807953835,0.001939217951382991,0.022336000576615334,0.04364800080657005,2.012362571355355
phase2_ref_torch,4,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.0474884800426662,0.046879999339580536,0.05023999884724617,0.00240933514985628,0.04623999819159508,0.0689919963479042,
phase2_fused_triton,4,16,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02371248008683324,0.023296000435948372,0.024351999163627625,0.0019306251782918414,0.022943999618291855,0.04259200021624565,2.012362571355355
phase2_ref_torch,4,16,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04745568003505468,0.047040000557899475,0.04927999898791313,0.0014334249352629344,0.04633599892258644,0.0568000003695488,
phase2_fused_triton,4,16,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023439840069040655,0.02319999970495701,0.024351999163627625,0.0010404871961508045,0.02287999913096428,0.0307839997112751,2.027586256729508
phase2_ref_torch,4,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.0475233600102365,0.04713600128889084,0.049247998744249344,0.0014366411420520416,0.04620800167322159,0.05491200089454651,
phase2_fused_triton,4,128,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02340240005403757,0.023183999583125114,0.02380800060927868,0.0009492244900731513,0.02287999913096428,0.02908799983561039,2.0331263861477815
phase2_ref_torch,4,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04690832005813718,0.04649600014090538,0.048928000032901764,0.0014553534792891066,0.04556800052523613,0.0568000003695488,
phase2_fused_triton,4,128,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02342927999794483,0.023231999948620796,0.02377600036561489,0.001033851525862051,0.022911999374628067,0.031136000528931618,2.0013774209596487
phase2_ref_torch,4,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04729263998568058,0.046879999339580536,0.05193600058555603,0.0014040029513268106,0.045632001012563705,0.054207999259233475,
phase2_fused_triton,4,128,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023417760068550706,0.02319999970495701,0.02425600029528141,0.0009769527088678,0.021983999758958817,0.028960000723600388,2.020689652403916
phase2_ref_torch,4,128,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.051552639584988354,0.05167999863624573,0.05369599908590317,0.0014864920541176668,0.0461760014295578,0.0589120015501976,
phase2_fused_triton,4,128,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02341344004496932,0.02324800007045269,0.024000000208616257,0.000899872259529714,0.022175999358296394,0.02985600009560585,2.2229868582084618
phase2_ref_torch,4,512,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.04680719999596476,0.0464479997754097,0.0506879985332489,0.0012587798414535143,0.04524800181388855,0.0533440001308918,
phase2_fused_triton,4,512,512,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023475680043920876,0.02316799946129322,0.024032000452280045,0.0015689912443980795,0.02287999913096428,0.040031999349594116,2.0048342910664503
phase2_ref_torch,4,512,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.051225759666413066,0.05158400163054466,0.05299200117588043,0.0016936880816762641,0.04604800045490265,0.05999999865889549,
phase2_fused_triton,4,512,1024,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023628960018977522,0.02332800067961216,0.0244159996509552,0.001621210111050231,0.022175999358296394,0.03923200070858002,2.2112482907987583
phase2_ref_torch,4,512,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.06116543943062425,0.06099199876189232,0.06204799935221672,0.0009585019139709138,0.05875200033187866,0.06716799736022949,
phase2_fused_triton,4,512,2048,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.02397152000106871,0.023615999147295952,0.024831999093294144,0.0016316511089971778,0.022495999932289124,0.041280001401901245,2.582655867383699
phase2_ref_torch,4,512,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.08185152132064104,0.0814880020916462,0.08326400071382523,0.001178247339470139,0.08035200089216232,0.08963199704885483,
phase2_fused_triton,4,512,4096,float16,NVIDIA RTX PRO 6000 Blackwell Server Edition,50,200,0.023990399930626155,0.02364799939095974,0.025280000641942024,0.0013344037595581582,0.023264000192284584,0.033535998314619064,3.4458729782781448
