kernel,B,T,D,dtype,device,warmup,runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,speedup_vs_ref
phase2_ref_torch,1,1,512,float16,NVIDIA H100 80GB HBM3,50,200,0.08637647997587919,0.08367999643087387,0.10659199953079224,0.009614713807104895,0.07859200239181519,0.17056000232696533,
phase2_fused_triton,1,1,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04230079995468259,0.04131200164556503,0.050303999334573746,0.004051306107166914,0.03779200091958046,0.06294400244951248,2.0255614130925843
phase2_ref_torch,1,1,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.08319536004215479,0.08084799721837044,0.10441599786281586,0.00752587896644716,0.07276800274848938,0.11231999844312668,
phase2_fused_triton,1,1,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.043435839954763654,0.041919998824596405,0.05993599817156792,0.0070719427984426535,0.036288000643253326,0.08278399705886841,1.92862594191995
phase2_ref_torch,1,1,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08594671979546548,0.08395199850201607,0.09888000041246414,0.006418248870532122,0.0727040022611618,0.10947199910879135,
phase2_fused_triton,1,1,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.04378415998071432,0.042608000338077545,0.05382400006055832,0.012072693637167897,0.03619199991226196,0.1796800047159195,1.9703341587469567
phase2_ref_torch,1,1,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.0844750403240323,0.08256000280380249,0.10089600086212158,0.0069577775311980405,0.07599999755620956,0.11100800335407257,
phase2_fused_triton,1,1,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.04639296008273959,0.04451199993491173,0.05619199946522713,0.006306713142668187,0.03977600112557411,0.10806400328874588,1.854780798987396
phase2_ref_torch,1,16,512,float16,NVIDIA H100 80GB HBM3,50,200,0.08006800021976232,0.07841600105166435,0.09424000233411789,0.008148364205442711,0.0689919963479042,0.13513599336147308,
phase2_fused_triton,1,16,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04563231997191906,0.04388799890875816,0.05619199946522713,0.004402477813409644,0.04076800122857094,0.06268800050020218,1.7867299262080478
phase2_ref_torch,1,16,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.07827504012733698,0.07657600194215775,0.08905600011348724,0.005728104031526824,0.06886400282382965,0.10531199723482132,
phase2_fused_triton,1,16,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.042729760035872456,0.04131200164556503,0.05190400034189224,0.0042647061698673815,0.037567999213933945,0.060864001512527466,1.853601832202154
phase2_ref_torch,1,16,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08313536010682583,0.08087999746203423,0.09532800316810608,0.005944300291662995,0.07286400347948074,0.10387200117111206,
phase2_fused_triton,1,16,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.04462623994797468,0.04303999990224838,0.055615998804569244,0.00445349830555628,0.03807999938726425,0.06038400158286095,1.8791821014341847
phase2_ref_torch,1,16,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.0814732800796628,0.08038400113582611,0.09593600034713745,0.008416252001917889,0.06950400024652481,0.14742399752140045,
phase2_fused_triton,1,16,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.045175840072333814,0.04343999922275543,0.056223999708890915,0.005181610381996319,0.03731200098991394,0.06543999910354614,1.8504604644126716
phase2_ref_torch,1,128,512,float16,NVIDIA H100 80GB HBM3,50,200,0.082770880125463,0.08123200014233589,0.0963200032711029,0.006432610764567714,0.07145600020885468,0.10102400183677673,
phase2_fused_triton,1,128,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04258384002372623,0.04094399884343147,0.05215999856591225,0.004738164823938158,0.03788800165057182,0.07507199794054031,1.9839781759706576
phase2_ref_torch,1,128,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.08050511997193098,0.0796160027384758,0.09487999975681305,0.0071785375594036055,0.06886400282382965,0.11113599687814713,
phase2_fused_triton,1,128,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.044652960039675234,0.04294399917125702,0.053119998425245285,0.004448043825100374,0.03884800150990486,0.06339199841022491,1.85394942890563
phase2_ref_torch,1,128,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.07847536001354456,0.07840000092983246,0.0926079973578453,0.006767322352566227,0.06870400160551071,0.09721600264310837,
phase2_fused_triton,1,128,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.04404383996501565,0.04291199892759323,0.05260799825191498,0.004434537485581858,0.03705599904060364,0.059007998555898666,1.8269948473413986
phase2_ref_torch,1,128,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.07591599989682436,0.07407999783754349,0.08851200342178345,0.006115769415821658,0.06656000018119812,0.10150399804115295,
phase2_fused_triton,1,128,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.044689759928733114,0.04347199946641922,0.05603199824690819,0.005637491571941125,0.035999998450279236,0.06752000004053116,1.704085359468409
phase2_ref_torch,1,512,512,float16,NVIDIA H100 80GB HBM3,50,200,0.0842969598248601,0.08268799632787704,0.09676799923181534,0.006375685002212936,0.07369600236415863,0.10534399747848511,
phase2_fused_triton,1,512,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04118799986317754,0.04009599983692169,0.0490880012512207,0.004373688121862288,0.036031998693943024,0.07388799637556076,2.0622505153677517
phase2_ref_torch,1,512,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.07884032014757394,0.07665600255131721,0.09193599969148636,0.0062560746694554975,0.07075200229883194,0.10134399682283401,
phase2_fused_triton,1,512,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.04282831996679306,0.04062400013208389,0.054368000477552414,0.005912392601182813,0.03657599911093712,0.08271999657154083,1.8869634280740384
phase2_ref_torch,1,512,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08406720016151667,0.0830559991300106,0.09855999797582626,0.006958969441060822,0.07411199808120728,0.10806400328874588,
phase2_fused_triton,1,512,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.042343999966979025,0.04081599973142147,0.05366399884223938,0.005555084622308605,0.033344000577926636,0.07177600264549255,2.034888271181348
phase2_ref_torch,1,512,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.08504528004676104,0.08248000219464302,0.09971199929714203,0.006699821264047555,0.07859200239181519,0.12150400131940842,
phase2_fused_triton,1,512,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.04323487997055054,0.042128000408411026,0.0530879981815815,0.005084454748299783,0.03667199984192848,0.07900799810886383,1.9578427980212314
phase2_ref_torch,4,1,512,float16,NVIDIA H100 80GB HBM3,50,200,0.08280368026345969,0.08102399855852127,0.09536000341176987,0.0060154502247406726,0.0727040022611618,0.10492800176143646,
phase2_fused_triton,4,1,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04630207994952798,0.04447999969124794,0.05753599852323532,0.005170188625191317,0.040383998304605484,0.07305599749088287,1.8215827140498806
phase2_ref_torch,4,1,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.08545007981359959,0.08287999778985977,0.10000000149011612,0.0064197278705969895,0.07798399776220322,0.10704000294208527,
phase2_fused_triton,4,1,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.0423257602006197,0.0400799997150898,0.0517439991235733,0.005026960438067856,0.03625600039958954,0.06304000318050385,2.067864231013358
phase2_ref_torch,4,1,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08270463977009058,0.08131200075149536,0.09484799951314926,0.006074539636194767,0.07472000271081924,0.10291200131177902,
phase2_fused_triton,4,1,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.04537903998047113,0.04380800016224384,0.05641600117087364,0.006447943289525997,0.037567999213933945,0.08892799913883209,1.8560993528660215
phase2_ref_torch,4,1,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.08757856007665396,0.08515200018882751,0.10016000270843506,0.005954410831237716,0.07817599922418594,0.1048320010304451,
phase2_fused_triton,4,1,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.04118192000314593,0.039824001491069794,0.0504320003092289,0.004866736131457578,0.03590400144457817,0.0732479989528656,2.1382080403929815
phase2_ref_torch,4,16,512,float16,NVIDIA H100 80GB HBM3,50,200,0.08211312029510737,0.08028800040483475,0.0928959995508194,0.005606275028125055,0.0727040022611618,0.10070399940013885,
phase2_fused_triton,4,16,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04244032004848122,0.04116800054907799,0.05251200124621391,0.005112627883498071,0.03593600168824196,0.07487999647855759,1.950252607219053
phase2_ref_torch,4,16,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.07892767999321222,0.07879999652504921,0.09443199634552002,0.008056960775373954,0.0658240020275116,0.10364799946546555,
phase2_fused_triton,4,16,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.04640239991247654,0.044704001396894455,0.06022400036454201,0.006075972358994879,0.037376001477241516,0.07001599669456482,1.7627056653260433
phase2_ref_torch,4,16,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08292752005159855,0.08206399902701378,0.09737599641084671,0.0068041631998120465,0.07161600142717361,0.10233599692583084,
phase2_fused_triton,4,16,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.04434672007337213,0.04264000058174133,0.05395200103521347,0.005890581947561231,0.03824000060558319,0.09523200243711472,1.9245778120874135
phase2_ref_torch,4,16,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.08141087990254164,0.08084799721837044,0.09487999975681305,0.00692497819667107,0.07075200229883194,0.10188800096511841,
phase2_fused_triton,4,16,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.04614480013027787,0.044815998524427414,0.05571199953556061,0.004248646162503027,0.04124800115823746,0.06371200084686279,1.8039985692677007
phase2_ref_torch,4,128,512,float16,NVIDIA H100 80GB HBM3,50,200,0.080403360016644,0.07822399958968163,0.09452799707651138,0.007043340010660892,0.07174400240182877,0.10598400235176086,
phase2_fused_triton,4,128,512,float16,NVIDIA H100 80GB HBM3,50,200,0.04707408007234335,0.04505600035190582,0.05939200147986412,0.00531821610953756,0.04105599969625473,0.06729599833488464,1.7361505455149178
phase2_ref_torch,4,128,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.08331647992134095,0.08152000233530998,0.09843199700117111,0.0075446729179565256,0.0721919983625412,0.11417599767446518,
phase2_fused_triton,4,128,1024,float16,NVIDIA H100 80GB HBM3,50,200,0.04693744003772735,0.04531199857592583,0.0560000017285347,0.004288263024118876,0.042080000042915344,0.06272000074386597,1.799082028984292
phase2_ref_torch,4,128,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.08308047987520695,0.08087999746203423,0.09551999717950821,0.007038959764493469,0.07411199808120728,0.11177600175142288,
phase2_fused_triton,4,128,2048,float16,NVIDIA H100 80GB HBM3,50,200,0.046163039859384296,0.04487999901175499,0.054655998945236206,0.004385016062591485,0.04064000025391579,0.06518399715423584,1.8021390205657113
phase2_ref_torch,4,128,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.08210128001868724,0.08056000247597694,0.09468799829483032,0.006616217444521561,0.07235199958086014,0.10739199817180634,
phase2_fused_triton,4,128,4096,float16,NVIDIA H100 80GB HBM3,50,200,0.04645664004608989,0.0448479987680912,0.057023998349905014,0.004583536981363024,0.04047999903559685,0.06083200126886368,1.7962897941679037
phase2_ref_torch,4,512,512,float16,NVIDIA H100 80GB HBM3,50,200,0.07995072010904551,0.07812799885869026,0.09216000139713287,0.006669140540016349,0.07132799923419952,0.10236799716949463,
