kernel,B,T,D,dtype,device,warmup,runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,speedup_vs_ref
phase2_ref_torch,1,1,512,float16,NVIDIA L4,50,200,0.1478632001578808,0.1443680003285408,0.16179199516773224,0.00762386262362056,0.14028799533843994,0.1730239987373352,
phase2_fused_triton,1,1,512,float16,NVIDIA L4,50,200,0.08663855899125338,0.08396799862384796,0.10239999741315842,0.006281457009953475,0.08089599758386612,0.11366400122642517,1.719321678432127
phase2_ref_torch,1,1,1024,float16,NVIDIA L4,50,200,0.15487936049699783,0.14643199741840363,0.17100800573825836,0.02951469628937007,0.14032000303268433,0.4259839951992035,
phase2_fused_triton,1,1,1024,float16,NVIDIA L4,50,200,0.0935654392838478,0.08499199897050858,0.13312000036239624,0.016630923025787947,0.08191999793052673,0.16793599724769592,1.7228915567595269
phase2_ref_torch,1,1,2048,float16,NVIDIA L4,50,200,0.14856560051441192,0.1454080045223236,0.16076800227165222,0.007465544941620564,0.14028799533843994,0.1740799993276596,
phase2_fused_triton,1,1,2048,float16,NVIDIA L4,50,200,0.08683007910847663,0.08396799862384796,0.10035199671983719,0.005807877799256915,0.08089599758386612,0.11059200018644333,1.7317073993118364
phase2_ref_torch,1,1,4096,float16,NVIDIA L4,50,200,0.14860000066459178,0.1444000005722046,0.16179199516773224,0.007485212269178223,0.14028799533843994,0.18432000279426575,
phase2_fused_triton,1,1,4096,float16,NVIDIA L4,50,200,0.08788687907159329,0.08396799862384796,0.1024319976568222,0.008054136506773769,0.08191999793052673,0.13926400244235992,1.7197027789012131
phase2_ref_torch,1,16,512,float16,NVIDIA L4,50,200,0.14845824047923087,0.1443839967250824,0.1669120043516159,0.008422185308988056,0.14028799533843994,0.17612800002098083,
phase2_fused_triton,1,16,512,float16,NVIDIA L4,50,200,0.08736207902431488,0.08396799862384796,0.10444799810647964,0.007155138353099359,0.08191999793052673,0.12083200365304947,1.719512184301074
phase2_ref_torch,1,16,1024,float16,NVIDIA L4,50,200,0.14973392069339753,0.1454080045223236,0.1669120043516159,0.009446264115961445,0.14131200313568115,0.20582400262355804,
phase2_fused_triton,1,16,1024,float16,NVIDIA L4,50,200,0.08853055901825428,0.08396799862384796,0.10547199845314026,0.008460361254153522,0.08191999793052673,0.12902399897575378,1.7317073993118364
phase2_ref_torch,1,16,2048,float16,NVIDIA L4,50,200,0.1480696001648903,0.1443839967250824,0.1658879965543747,0.008160785473288336,0.13926400244235992,0.18329599499702454,
phase2_fused_triton,1,16,2048,float16,NVIDIA L4,50,200,0.08777375910431147,0.08396799862384796,0.10239999741315842,0.0074203638568628655,0.08191999793052673,0.12902399897575378,1.719512184301074
phase2_ref_torch,1,16,4096,float16,NVIDIA L4,50,200,0.1492272011190653,0.1443839967250824,0.16793599724769592,0.008681998924328251,0.14131200313568115,0.18425600230693817,
phase2_fused_triton,1,16,4096,float16,NVIDIA L4,50,200,0.0878691192343831,0.08396799862384796,0.10239999741315842,0.008107395314658221,0.08191999793052673,0.15254400670528412,1.719512184301074
phase2_ref_torch,1,128,512,float16,NVIDIA L4,50,200,0.14918048039078713,0.14536000043153763,0.1658879965543747,0.008072330964671904,0.14134399592876434,0.17510400712490082,
phase2_fused_triton,1,128,512,float16,NVIDIA L4,50,200,0.08809471908956766,0.08499199897050858,0.10239999741315842,0.007598665989604442,0.08191999793052673,0.1443839967250824,1.7102786402514922
phase2_ref_torch,1,128,1024,float16,NVIDIA L4,50,200,0.14960128031671047,0.1454080045223236,0.1669120043516159,0.00819783402247923,0.1422719955444336,0.1730560064315796,
phase2_fused_triton,1,128,1024,float16,NVIDIA L4,50,200,0.08674383893609047,0.08396799862384796,0.1013759970664978,0.005949142901986756,0.08191999793052673,0.11468800157308578,1.7317073993118364
phase2_ref_torch,1,128,2048,float16,NVIDIA L4,50,200,0.14911551997065545,0.144896000623703,0.1658879965543747,0.008025134019978496,0.14131200313568115,0.17817600071430206,
phase2_fused_triton,1,128,2048,float16,NVIDIA L4,50,200,0.087849599160254,0.08499199897050858,0.10239999741315842,0.006514658048841118,0.08294399827718735,0.11468800157308578,1.7048193050969487
phase2_ref_torch,1,128,4096,float16,NVIDIA L4,50,200,0.1483379204571247,0.1443839967250824,0.16486400365829468,0.008108350529645566,0.14028799533843994,0.1802240014076233,
phase2_fused_triton,1,128,4096,float16,NVIDIA L4,50,200,0.08838159929960966,0.08499199897050858,0.10239999741315842,0.007474804274552222,0.08195199817419052,0.1443839967250824,1.6987951627679951
phase2_ref_torch,1,512,512,float16,NVIDIA L4,50,200,0.15058384105563163,0.14643199741840363,0.1658879965543747,0.008201110691306392,0.14233599603176117,0.18636800348758698,
phase2_fused_triton,1,512,512,float16,NVIDIA L4,50,200,0.08988159932196141,0.08499199897050858,0.11161600053310394,0.012761212548572827,0.08191999793052673,0.2088959962129593,1.7228915567595269
phase2_ref_torch,1,512,1024,float16,NVIDIA L4,50,200,0.15570560112595558,0.14745600521564484,0.19251200556755066,0.023167563620403186,0.14131200313568115,0.32153600454330444,
phase2_fused_triton,1,512,1024,float16,NVIDIA L4,50,200,0.08898959934711456,0.08499199897050858,0.10444799810647964,0.007757385581820852,0.08294399827718735,0.14028799533843994,1.7349398414174337
phase2_ref_torch,1,512,2048,float16,NVIDIA L4,50,200,0.1507078403234482,0.14643199741840363,0.16995200514793396,0.00974527453893084,0.14137600362300873,0.21299199759960175,
phase2_fused_triton,1,512,2048,float16,NVIDIA L4,50,200,0.08949743956327438,0.08601599931716919,0.10342399775981903,0.008062941961404469,0.08396799862384796,0.14131200313568115,1.7023809358821822
phase2_ref_torch,1,512,4096,float16,NVIDIA L4,50,200,0.14885328002274037,0.1443839967250824,0.16486400365829468,0.007897324873659056,0.14131200313568115,0.1740799993276596,
phase2_fused_triton,1,512,4096,float16,NVIDIA L4,50,200,0.08897951949387789,0.08601599931716919,0.10342399775981903,0.0066438651057508956,0.08294399827718735,0.1228799968957901,1.6785714038232733
phase2_ref_torch,4,1,512,float16,NVIDIA L4,50,200,0.14905904054641725,0.1454080045223236,0.16383999586105347,0.007483461602737688,0.14131200313568115,0.17100800573825836,
phase2_fused_triton,4,1,512,float16,NVIDIA L4,50,200,0.08745967913419009,0.08396799862384796,0.1013759970664978,0.006044846325626646,0.08191999793052673,0.10751999914646149,1.7317073993118364
phase2_ref_torch,4,1,1024,float16,NVIDIA L4,50,200,0.1493812810629606,0.1454080045223236,0.1658879965543747,0.008423712333140071,0.14131200313568115,0.19046400487422943,
phase2_fused_triton,4,1,1024,float16,NVIDIA L4,50,200,0.08815647926181555,0.08499199897050858,0.10342399775981903,0.006317676994920738,0.08294399827718735,0.11264000087976456,1.710843447425902
phase2_ref_torch,4,1,2048,float16,NVIDIA L4,50,200,0.1645057599246502,0.15303999930620193,0.2314240038394928,0.03400357385528238,0.14131200313568115,0.3768320083618164,
phase2_fused_triton,4,1,2048,float16,NVIDIA L4,50,200,0.08818127933889627,0.08499199897050858,0.1013759970664978,0.007021583898114903,0.08294399827718735,0.1454080045223236,1.8006400738886654
phase2_ref_torch,4,1,4096,float16,NVIDIA L4,50,200,0.16080928042531015,0.14745600521564484,0.23449599742889404,0.03754818340038987,0.14131200313568115,0.4320639967918396,
phase2_fused_triton,4,1,4096,float16,NVIDIA L4,50,200,0.09012671943753958,0.08508799970149994,0.11264000087976456,0.010679067428319776,0.08294399827718735,0.15360000729560852,1.7329823915586238
phase2_ref_torch,4,16,512,float16,NVIDIA L4,50,200,0.1541072003543377,0.14745600521564484,0.187391996383667,0.014713374978324093,0.14233599603176117,0.24985599517822266,
phase2_fused_triton,4,16,512,float16,NVIDIA L4,50,200,0.08826015926897526,0.08499199897050858,0.10236799716949463,0.007444330624350502,0.08191999793052673,0.14336000382900238,1.7349398414174337
phase2_ref_torch,4,16,1024,float16,NVIDIA L4,50,200,0.14858448021113874,0.1443839967250824,0.16383999586105347,0.008113361420679565,0.14131200313568115,0.19251200556755066,
phase2_fused_triton,4,16,1024,float16,NVIDIA L4,50,200,0.08862847931683064,0.08499199897050858,0.10342399775981903,0.008086791732211744,0.08294399827718735,0.1372160017490387,1.6987951627679951
phase2_ref_torch,4,16,2048,float16,NVIDIA L4,50,200,0.14884864039719103,0.1448799967765808,0.1658879965543747,0.007925254508700375,0.14131200313568115,0.1812479943037033,
phase2_fused_triton,4,16,2048,float16,NVIDIA L4,50,200,0.08875695925205945,0.08499199897050858,0.10342399775981903,0.007986284195404196,0.08294399827718735,0.15558399260044098,1.7046310068180983
phase2_ref_torch,4,16,4096,float16,NVIDIA L4,50,200,0.14997968077659607,0.1454080045223236,0.1658879965543747,0.009047731304871269,0.14233599603176117,0.21299199759960175,
phase2_fused_triton,4,16,4096,float16,NVIDIA L4,50,200,0.08882879942655564,0.08499199897050858,0.10649599879980087,0.007950190281604331,0.08294399827718735,0.13516800105571747,1.710843447425902
phase2_ref_torch,4,128,512,float16,NVIDIA L4,50,200,0.14954128071665765,0.14550399780273438,0.1669120043516159,0.007870602230185875,0.14131200313568115,0.175135999917984,
phase2_fused_triton,4,128,512,float16,NVIDIA L4,50,200,0.08823599938303232,0.08499199897050858,0.10342399775981903,0.005978243892195468,0.08294399827718735,0.1085439994931221,1.7119728864504398
phase2_ref_torch,4,128,1024,float16,NVIDIA L4,50,200,0.16687008015811444,0.15564799308776855,0.2303999960422516,0.03189998924218292,0.14131200313568115,0.3829120099544525,
phase2_fused_triton,4,128,1024,float16,NVIDIA L4,50,200,0.09101391956210136,0.08657599985599518,0.11062400043010712,0.010472311279346357,0.08294399827718735,0.13516800105571747,1.7978191802192662
phase2_ref_torch,4,128,2048,float16,NVIDIA L4,50,200,0.14984352044761182,0.14641600102186203,0.1637759953737259,0.0071634916933967395,0.14233599603176117,0.1730560064315796,
phase2_fused_triton,4,128,2048,float16,NVIDIA L4,50,200,0.08928719960153103,0.08601599931716919,0.10239999741315842,0.006245499686507014,0.08396799862384796,0.11980800330638885,1.7021949658688291
phase2_ref_torch,4,128,4096,float16,NVIDIA L4,50,200,0.1489614403247833,0.1454080045223236,0.16176000237464905,0.006807628100807435,0.14131200313568115,0.17100800573825836,
phase2_fused_triton,4,128,4096,float16,NVIDIA L4,50,200,0.08914735961705446,0.08601599931716919,0.10239999741315842,0.005649547645466438,0.08396799862384796,0.11059200018644333,1.6904762564712714
phase2_ref_torch,4,512,512,float16,NVIDIA L4,50,200,0.15136544086039067,0.14745600521564484,0.1658879965543747,0.009008848781069926,0.14233599603176117,0.22323200106620789,
phase2_fused_triton,4,512,512,float16,NVIDIA L4,50,200,0.08933407958596945,0.08601599931716919,0.10239999741315842,0.006722569921938545,0.08396799862384796,0.12697599828243256,1.7142857885301803
phase2_ref_torch,4,512,1024,float16,NVIDIA L4,50,200,0.14836144007742405,0.14486400038003922,0.16076800227165222,0.006751811402230805,0.14124800264835358,0.16991999745368958,
phase2_fused_triton,4,512,1024,float16,NVIDIA L4,50,200,0.09031775955110788,0.08601599931716919,0.10547199845314026,0.00896704574031399,0.08303999900817871,0.16076800227165222,1.6841518035020224
phase2_ref_torch,4,512,2048,float16,NVIDIA L4,50,200,0.1967257611453533,0.1945600062608719,0.2088959962129593,0.005374886113484164,0.18943999707698822,0.21299199759960175,
phase2_fused_triton,4,512,2048,float16,NVIDIA L4,50,200,0.08921023949980736,0.08601599931716919,0.1034879982471466,0.007872020604107285,0.08396799862384796,0.15564799308776855,2.2619048526479983
phase2_ref_torch,4,512,4096,float16,NVIDIA L4,50,200,0.5018609629571438,0.501695990562439,0.5130239725112915,0.006503295783882786,0.4904960095882416,0.5468159914016724,
phase2_fused_triton,4,512,4096,float16,NVIDIA L4,50,200,0.11724560104310512,0.1157120019197464,0.13104000687599182,0.007022934451001374,0.1085439994931221,0.17612800002098083,4.335729935001876
