kernel,B,T,D,dtype,device,warmup,runs,mean_ms,median_ms,p95_ms,std_ms,min_ms,max_ms,speedup_vs_ref
phase2_ref_torch,1,1,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.1253158402070403,0.11238399893045425,0.16816000640392303,0.05247457361430586,0.048128001391887665,0.47891199588775635,
phase2_fused_triton,1,1,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07312448095530272,0.0719040036201477,0.07884799689054489,0.0053510082984419465,0.070592001080513,0.12982399761676788,1.5629727591269194
phase2_ref_torch,1,1,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.12868191994726658,0.12492799758911133,0.15772800147533417,0.023056407381174582,0.08601599931716919,0.28678399324417114,
phase2_fused_triton,1,1,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07911440033465623,0.0676800012588501,0.11535999923944473,0.026518714812300514,0.0655359998345375,0.2847999930381775,1.8458628142057734
phase2_ref_torch,1,1,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.12936992030590772,0.11148799955844879,0.3463360071182251,0.06645327814875492,0.07814399898052216,0.4331519901752472,
phase2_fused_triton,1,1,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.08873600039631128,0.07009600102901459,0.1133119985461235,0.03177289467747948,0.06060799956321716,0.3739840090274811,1.590504421390615
phase2_ref_torch,1,1,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.1181977604329586,0.11059200018644333,0.13600000739097595,0.049793097682006016,0.08486399799585342,0.6196159720420837,
phase2_fused_triton,1,1,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.0775851202569902,0.06664000079035759,0.07782399654388428,0.10410319231159967,0.052480001002550125,1.5022079944610596,1.6595438006424112
phase2_ref_torch,1,16,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.14235136039555074,0.12483200058341026,0.24780799448490143,0.08300759065826446,0.08716800063848495,0.7219200134277344,
phase2_fused_triton,1,16,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07541696093976498,0.07475200295448303,0.08191999793052673,0.004677240571398136,0.06739199906587601,0.10342399775981903,1.6699485719388851
phase2_ref_torch,1,16,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.13323888007551432,0.12747199833393097,0.18716800212860107,0.027399866783285647,0.08899199962615967,0.30822399258613586,
phase2_fused_triton,1,16,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.0854166404902935,0.07553600147366524,0.11980800330638885,0.048811789072489654,0.06572800129652023,0.6573439836502075,1.6875661386229535
phase2_ref_torch,1,16,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.20104272041469812,0.13619199395179749,0.38604798913002014,0.11666955117488848,0.09830400347709656,0.6133760213851929,
phase2_fused_triton,1,16,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07402672082185745,0.07292799651622772,0.08124800026416779,0.008460967608436508,0.06451199948787689,0.16998399794101715,1.867485745635319
phase2_ref_torch,1,16,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.12680416053161025,0.12505600601434708,0.15027199685573578,0.02344052738523879,0.05427199974656105,0.317440003156662,
phase2_fused_triton,1,16,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.06633295981213451,0.0647520013153553,0.0727040022611618,0.007819873722946163,0.05369599908590317,0.13990400731563568,1.9313071947428948
phase2_ref_torch,1,128,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.11849007960408926,0.11068800091743469,0.16252799332141876,0.039069204675958986,0.05366399884223938,0.39612799882888794,
phase2_fused_triton,1,128,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.06956784036010503,0.06752000004053116,0.07372800260782242,0.009691129165038686,0.06576000154018402,0.16185599565505981,1.6393365054945273
phase2_ref_torch,1,128,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.1605033602938056,0.12174399942159653,0.3481599986553192,0.09393017305298079,0.07772800326347351,0.5273600220680237,
phase2_fused_triton,1,128,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07219840068370104,0.07089600339531898,0.07782399654388428,0.008352272171434649,0.06639999896287918,0.15398399531841278,1.7172194988587306
phase2_ref_torch,1,128,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.11511152032762766,0.11080000177025795,0.137472003698349,0.03302787342956367,0.0870399996638298,0.4630720019340515,
phase2_fused_triton,1,128,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07351712036877871,0.06801600009202957,0.1120000034570694,0.02313482836132181,0.06323199719190598,0.29097598791122437,1.6290284877137609
phase2_ref_torch,1,128,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.12674848055467008,0.11793599650263786,0.20787200331687927,0.044992999688995866,0.060416001826524734,0.3962880074977875,
phase2_fused_triton,1,128,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.07173600040376187,0.06856000050902367,0.0791039988398552,0.0179349344272224,0.062463998794555664,0.22828799486160278,1.7201866339997398
phase2_ref_torch,1,512,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.11218496028333902,0.10939199849963188,0.1332480013370514,0.03141578573292941,0.07577600330114365,0.3766080141067505,
phase2_fused_triton,1,512,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.06804496042430401,0.06708800047636032,0.07209599763154984,0.004385774744055954,0.06412799656391144,0.11897599697113037,1.630574733527468
phase2_ref_torch,1,512,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.12501136016100645,0.11265600100159645,0.24582399427890778,0.055736383876097334,0.06185600161552429,0.4413439929485321,
phase2_fused_triton,1,512,1024,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.09552576042711734,0.11169600114226341,0.130048006772995,0.028508264157277946,0.05734400078654289,0.24166400730609894,1.0085947558508412
phase2_ref_torch,1,512,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.1200247998535633,0.11366400122642517,0.16076800227165222,0.03610109840616489,0.07452800124883652,0.3887999951839447,
phase2_fused_triton,1,512,2048,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.08416463984176517,0.06656000018119812,0.131071999669075,0.035780894740504915,0.058368001133203506,0.3561600148677826,1.7076923214692687
phase2_ref_torch,1,512,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.13419024009257555,0.12161600217223167,0.21171200275421143,0.046762014138566836,0.07372800260782242,0.40438398718833923,
phase2_fused_triton,1,512,4096,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.06500063970685005,0.06163199990987778,0.07168000191450119,0.016200940764115494,0.058720000088214874,0.19139200448989868,1.9732606819520104
phase2_ref_torch,4,1,512,float16,NVIDIA GeForce RTX 4060 Ti,50,200,0.11909743970260024,0.11075200140476227,0.16681599617004395,0.04266816501489133,0.05145600065588951,0.3819519877433777,
